sentence_id,instance_id,raw_text,targets
34,34,"mantap , lokasi strategis , ke tanah abang bisa jalan kaki . cuma karena tempat tidur diatas agak ngerih , bunyibunyi takut jatuh hai .","[{'term': 'lokasi', 'opinion': 'strategis', 'polarity': 'positive'}, {'term': 'lokasi', 'opinion': 'ke tanah abang bisa jalan kaki', 'polarity': 'positive'}, {'term': 'tempat tidur', 'opinion': 'karena tempat tidur diatas agak ngerih', 'polarity': 'negative'}, {'term': 'tempat tidur', 'opinion': 'bunyibunyi takut jatuh', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'mantap', 'polarity': 'positive'}]"
35,35,"hotelnya bagus , pelayanan oke , dekat dengan fasilitas umum . terimakasih .","[{'term': 'hotelnya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'hotelnya', 'opinion': 'dekat dengan fasilitas umum', 'polarity': 'positive'}]"
36,36,"over all enak menginap disini , lokasinya strategis jadi kalau mau berasa turis bisa jalan kaki kemana mana . dan yang lebih berasa turisnya ketika malam mau ke lagi jalan kaki dan sekeliling lagi ada proyek pembangunan begitu tertawa . oiya ac nya sempat netes juga sih tetapi tidak apaapa lah bisa diatasi .","[{'term': 'over all', 'opinion': 'enak menginap disini', 'polarity': 'positive'}, {'term': 'lokasinya', 'opinion': 'strategis', 'polarity': 'positive'}, {'term': 'ac nya', 'opinion': 'sempat netes juga sih', 'polarity': 'negative'}, {'term': 'ac nya', 'opinion': 'tidak apaapa lah bisa diatasi', 'polarity': 'positive'}]"
37,37,"lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah "" .","[{'term': 'lantainya', 'opinion': 'tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah ""', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'lumayan bersih', 'polarity': 'positive'}]"
38,38,bersih . ramah . strategis .,"[{'term': 'null', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'strategis', 'polarity': 'positive'}]"
39,39,2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau .,"[{'term': 'kamar mandi', 'opinion': '2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau', 'polarity': 'negative'}]"
40,40,tidak sesuai dengan di foto .,"[{'term': 'null', 'opinion': 'tidak sesuai dengan di foto', 'polarity': 'positive'}]"
41,41,"pelayanan si masnya sangat ramah , saya sudah berlangganan di airy eco deplu hampir setengah tahun . kamarnya rapi , fasilitas lengkap , dan its cheap !","[{'term': 'pelayanan', 'opinion': 'sangat ramah', 'polarity': 'positive'}, {'term': 'kamarnya', 'opinion': 'rapi', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'lengkap', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'cheap', 'polarity': 'positive'}]"
42,42,"hotel yang berbasis syariah , sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar , wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik .","[{'term': 'wifi', 'opinion': 'wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik', 'polarity': 'positive'}, {'term': 'hotel', 'opinion': 'sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar', 'polarity': 'positive'}]"
43,43,"kamar bersih , nyaman sekali , csnya ramah mantaplah , dan daerahnya tenang .","[{'term': 'kamar', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'nyaman sekali', 'polarity': 'positive'}, {'term': 'csnya', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'csnya', 'opinion': 'mantaplah', 'polarity': 'positive'}, {'term': 'daerahnya', 'opinion': 'tenang', 'polarity': 'positive'}]"
44,44,"nyaman . dapat snack , hanya saja dikasih lantai 3 .","[{'term': 'snack', 'opinion': 'dapat', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'hanya saja dikasih lantai 3', 'polarity': 'negative'}]"
45,45,memuaskan dan dekat dengan bandara .,"[{'term': 'null', 'opinion': 'memuaskan', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'dekat dengan bandara', 'polarity': 'positive'}]"
46,46,"resepsionis tidak ada etika , tidak sopan suka marah , kamar berisik tiap siang dan malam tidak bisa istirahat .","[{'term': 'resepsionis', 'opinion': 'tidak ada etika', 'polarity': 'negative'}, {'term': 'resepsionis', 'opinion': 'tidak sopan', 'polarity': 'negative'}, {'term': 'resepsionis', 'opinion': 'suka marah', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'berisik tiap siang dan malam tidak bisa istirahat', 'polarity': 'negative'}]"
47,47,"lampu remang - remang , kamar mandi kotor , menginap 10 hari tetapi hanya diberikan peralatan mandi sekali saja saat pertama masuk .","[{'term': 'lampu', 'opinion': 'remang - remang', 'polarity': 'negative'}, {'term': 'kamar mandi', 'opinion': 'kotor', 'polarity': 'negative'}, {'term': 'peralatan mandi', 'opinion': 'menginap 10 hari tetapi hanya diberikan peralatan mandi sekali saja', 'polarity': 'negative'}]"
48,48,"sudah capek dari bandung pingin istirahat . sudah dapat kamar , eh ac rusak bahkan dapat kipas angin . walau dapat pot 50000 . trakhr bangun tdr masuk angin . tempatnya bagus tetapi begitu kalau soal pelayanan harus di tingkatkan lagi dan kurang ramah .","[{'term': 'ac', 'opinion': 'rusak', 'polarity': 'negative'}, {'term': 'tempatnya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'harus di tingkatkan lagi', 'polarity': 'negative'}, {'term': 'pelayanan', 'opinion': 'kurang ramah', 'polarity': 'negative'}, {'term': 'pot', 'opinion': 'dapat', 'polarity': 'positive'}]"
49,49,kamar kecil dan kurang nyaman .,"[{'term': 'kamar', 'opinion': 'kecil', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'kurang nyaman', 'polarity': 'negative'}]"
50,50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur .,"[{'term': 'lampu tidur', 'opinion': 'tidak terdapat', 'polarity': 'negative'}]"
51,51,"kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini .","[{'term': 'kamar airy', 'opinion': 'terburuk', 'polarity': 'negative'}, {'term': 'kamar', 'opinion': 'bau', 'polarity': 'negative'}, {'term': 'wifi', 'opinion': 'sinyal tidak bisa masuk', 'polarity': 'negative'}, {'term': 'toilet', 'opinion': 'buruk', 'polarity': 'negative'}, {'term': 'bantal airy', 'opinion': 'tidak ada', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'tidak recomended', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'nyesal menginap', 'polarity': 'negative'}]"
52,52,"baik : keramahan pelayanan , desain bangunan yang nyaman lemah : kebersihan kamar . lantai terasa lengket . ac lambat mencapai suhu yang diinginkan .","[{'term': 'keramahan pelayanan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'desain bangunan', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'desain bangunan', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'kebersihan kamar', 'opinion': 'lemah', 'polarity': 'negative'}, {'term': 'lantai', 'opinion': 'lemah', 'polarity': 'negative'}, {'term': 'lantai', 'opinion': 'lengket', 'polarity': 'negative'}, {'term': 'ac', 'opinion': 'lambat mencapai suhu yang diinginkan', 'polarity': 'negative'}, {'term': 'ac', 'opinion': 'lemah', 'polarity': 'negative'}]"
53,53,mankjubkan penginapannya sangat nyaman dan tenang . namun saya ingin lebih terang lampu dan sejuk udara lorong kamar .,"[{'term': 'penginapannya', 'opinion': 'sangat nyaman', 'polarity': 'positive'}, {'term': 'penginapannya', 'opinion': 'tenang', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'mankjubkan', 'polarity': 'positive'}, {'term': 'lampu', 'opinion': 'ingin lebih terang', 'polarity': 'positive'}]"
54,54,tidak ada sarapan .,"[{'term': 'sarapan', 'opinion': 'tidak ada', 'polarity': 'negative'}]"
55,55,banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .,"[{'term': 'pengunjung', 'opinion': 'berpenampilan kurang sopan', 'polarity': 'negative'}]"
56,56,"saya booking 2kmr hari sabtu , air mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil . kamar mandi sangat kotor . ranjang baik , kebersihan kamar lumayan . prncahayaan ruangan kirang lampu .","[{'term': 'air', 'opinion': 'mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil', 'polarity': 'negative'}, {'term': 'kamar mandi', 'opinion': 'sangat kotor', 'polarity': 'negative'}, {'term': 'ranjang', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'kebersihan kamar', 'opinion': 'lumayan', 'polarity': 'positive'}, {'term': 'prncahayaan ruangan', 'opinion': 'kirang lampu', 'polarity': 'negative'}]"
57,57,tempat yag bagus dan nyaman untuk istirahat tetapi tolong tvnya perlu di perbaiki channelnya karena banyak semutnya digambar dan water heaternya tidak bisa jadi mandi air dingin terus .,"[{'term': 'tempat', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'tvnya', 'opinion': 'perlu di perbaiki channelnya karena banyak semutnya digambar', 'polarity': 'positive'}, {'term': 'water heaternya', 'opinion': 'tidak bisa jadi mandi air dingin terus', 'polarity': 'negative'}]"
58,58,"pelayanan bagus , fasilitas memadai , harga bersahabat .","[{'term': 'pelayanan', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'fasilitas', 'opinion': 'memadai', 'polarity': 'positive'}, {'term': 'harga', 'opinion': 'bersahabat', 'polarity': 'positive'}]"
59,59,cukup bagus . cuma banyak nyamuk beterbangan .,"[{'term': 'null', 'opinion': 'cukup bagus', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'banyak nyamuk beterbangan', 'polarity': 'negative'}]"
60,60,"tidak sesuai dengan gambar dan tampilan di foto , semua fasilitas sudah tua , wc kotor .","[{'term': 'fasilitas', 'opinion': 'sudah tua', 'polarity': 'negative'}, {'term': 'wc', 'opinion': 'kotor', 'polarity': 'negative'}, {'term': 'null', 'opinion': 'tidak sesuai dengan gambar dan tampilan di foto', 'polarity': 'negative'}]"
61,61,"pelayanan ramah , kamar cukup bersih , tempat sangat strategic , dekat dengan semua tempat wisata kota .","[{'term': 'pelayanan', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'kamar', 'opinion': 'cukup bersih', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'sangat strategic', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'dekat dengan semua tempat wisata kota', 'polarity': 'positive'}]"
62,62,tempat nyaman bersih tetapi tv terlalu tinggi tidak bisa di lihat .,"[{'term': 'tempat', 'opinion': 'nyaman', 'polarity': 'positive'}, {'term': 'tempat', 'opinion': 'bersih', 'polarity': 'positive'}, {'term': 'tv', 'opinion': 'terlalu tinggi tidak bisa di lihat', 'polarity': 'negative'}]"
63,63,"saya dan kelg senang menginap , tetapi sayangnya tidak bisa memilih kamar karena kami orang tua sudah pada umur dan tidak bisa bersebelahan kamarnya , tempatnya tidak susah mencarinya , yang ptg enak deh , semoga saya dan kelg bisa pesan lagi .","[{'term': 'kamar', 'opinion': 'tidak bisa memilih kamar karena kami orang tua sudah pada umur dan tidak bisa bersebelahan kamarnya', 'polarity': 'negative'}, {'term': 'tempatnya', 'opinion': 'tidak susah mencarinya', 'polarity': 'positive'}, {'term': 'tempatnya', 'opinion': 'yang ptg enak deh', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'senang menginap', 'polarity': 'positive'}]"
64,64,"overall kamar yang ini lebih oke dari kemarin . hanya wastafel nya tersumbat . dan pagi nya , air panas nya kurang panas .","[{'term': 'kamar', 'opinion': 'lebih oke dari kemarin', 'polarity': 'positive'}, {'term': 'wastafel nya', 'opinion': 'tersumbat', 'polarity': 'negative'}, {'term': 'air panas nya', 'opinion': 'kurang panas', 'polarity': 'negative'}]"
65,65,"( grand deluxe lt.dasar ) kamar luas , toilet luas ( walau aroma kurang enak kalau pertama dibuka ) , air .","[{'term': 'kamar', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'toilet', 'opinion': 'luas', 'polarity': 'positive'}, {'term': 'aroma', 'opinion': 'kurang enak kalau pertama dibuka', 'polarity': 'negative'}]"
66,66,bagus . pelayanan juga oke . tidak sia siamenginap disini .,"[{'term': 'null', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'pelayanan', 'opinion': 'oke', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'tidak sia siamenginap', 'polarity': 'positive'}]"
67,67,"lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus .","[{'term': 'chanel tv', 'opinion': 'kurang', 'polarity': 'negative'}, {'term': 'snack', 'opinion': 'kurang', 'polarity': 'negative'}, {'term': 'alat mandi nya', 'opinion': 'kurang', 'polarity': 'negative'}, {'term': 'selebihnya', 'opinion': 'bagus', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'lumayan', 'polarity': 'positive'}]"
68,68,"desainnya suka bali banget , makanan murah tetapi lumayan lama sampainya , dan wc nya agak seram sih dan kotor juga wc nya pasir di mana - mana . posisi nyaman sih tetapi hotelnya buat santaisantai di kursi depan .","[{'term': 'desainnya', 'opinion': 'suka bali banget', 'polarity': 'positive'}, {'term': 'makanan', 'opinion': 'murah', 'polarity': 'positive'}, {'term': 'makanan', 'opinion': 'lumayan lama sampainya', 'polarity': 'negative'}, {'term': 'wc nya', 'opinion': 'agak seram', 'polarity': 'negative'}, {'term': 'wc nya', 'opinion': 'kotor', 'polarity': 'negative'}, {'term': 'wc nya', 'opinion': 'pasir di mana - mana', 'polarity': 'negative'}, {'term': 'posisi', 'opinion': 'nyaman', 'polarity': 'positive'}]"
69,69,hotelnya baru . nyaman banget . pokoknya airy recommended banget . the best one .,"[{'term': 'hotelnya', 'opinion': 'baru', 'polarity': 'positive'}, {'term': 'hotelnya', 'opinion': 'nyaman banget', 'polarity': 'positive'}, {'term': 'airy', 'opinion': 'recommended banget', 'polarity': 'positive'}, {'term': 'airy', 'opinion': 'the best one', 'polarity': 'positive'}]"
70,70,baik . penjaga ramah . strategis ke mana mana .,"[{'term': 'penjaga', 'opinion': 'ramah', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'baik', 'polarity': 'positive'}, {'term': 'null', 'opinion': 'strategis ke mana mana', 'polarity': 'positive'}]"
